rrt_mode,plan_length,cost,goal_bias,time,plan
RRTStar,5,3.7696031676997013,0.05,15.521932576994004,"[(0.78, -0.78, 0.0, 0.0), (0.7939593498026465, -0.5696632062478337, -0.5886954332372021, 0.3327150604618687), (0.0579518286383367, 0.32873632295410316, -0.3477450989526938, 1.2136973622736882), (3.9300722290303014e-05, 0.24585383935438054, 0.07612089164761615, 1.5080502798333582), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7165637480065925,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,4.27665212619512,0.05,4.06156213000213,"[(0.78, -0.78, 0.0, 0.0), (1.0587094893701456, -1.0147510556484436, -0.529390361357517, 0.8752571983780566), (1.0868845021384388, -1.0588631466622784, -0.7280540216797977, 1.6909838954605743), (0.7089997048019048, -0.5680925930203138, 0.11809257721644473, 1.5584047206496), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.252746129001025,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.853764568004408,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.8846542840037728,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.8582107769980212,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7286052229974302,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.2808905049969326,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,4.27665212619512,0.05,4.050517176001449,"[(0.78, -0.78, 0.0, 0.0), (1.0587094893701456, -1.0147510556484436, -0.529390361357517, 0.8752571983780566), (1.0868845021384388, -1.0588631466622784, -0.7280540216797977, 1.6909838954605743), (0.7089997048019048, -0.5680925930203138, 0.11809257721644473, 1.5584047206496), (0.3, 0.15, 1.0, 1.1)]"
